,carat,cut,color,clarity,depth,table,x,y,z,clarity_mod,color_mod,cut_mod,price_predicted
2403,0.7,Ideal,D,SI2,60.4,56.0,5.78,5.81,3.5,1,6,4,2927.875958444791
2404,1.35,Very Good,J,VS1,62.1,56.0,7.04,7.1,4.39,4,0,2,8025.686360597436
2405,0.44,Ideal,D,VS1,61.1,56.0,4.95,4.91,3.01,4,6,4,2286.066864532811
2406,0.33,Ideal,F,IF,62.1,56.0,4.41,4.44,2.75,7,4,4,2342.8104215287267
2407,0.74,Ideal,F,SI1,62.5,56.0,5.8,5.76,3.61,2,4,4,3021.184172043035
2408,1.1,Ideal,F,VS2,60.7,57.0,6.66,6.7,4.05,3,4,4,6781.866539122522
2409,0.4,Premium,F,VS2,59.3,59.0,4.83,4.79,2.85,3,4,3,761.6412499474891
2410,1.83,Fair,J,I1,70.0,58.0,7.34,7.28,5.12,0,0,0,9985.828293931369
2411,0.71,Ideal,F,VS2,61.6,56.0,5.74,5.77,3.54,3,4,4,3326.3751960793843
2412,1.0,Ideal,E,SI2,62.0,57.0,6.37,6.41,3.96,1,5,4,5169.513939173525
2413,2.0,Very Good,H,SI1,63.3,59.0,8.02,8.0,5.07,2,2,2,13647.39216557316
2414,2.03,Premium,G,SI1,61.9,59.0,8.14,8.09,5.02,2,3,3,14425.862652583914
2415,1.0,Fair,F,SI2,65.5,54.0,6.2,6.16,4.05,1,4,0,4299.757531040621
2416,0.9,Very Good,G,SI1,62.9,56.0,6.11,6.17,3.86,2,3,2,3883.1075805338564
2417,0.41,Ideal,F,VVS2,61.2,56.0,4.78,4.8,2.93,5,4,4,1957.5333047105187
2418,0.41,Ideal,F,VVS1,61.8,57.0,4.75,4.79,2.95,6,4,4,2409.0104834356525
2419,1.51,Premium,F,VS2,61.6,58.0,7.32,7.35,4.52,3,4,3,10407.989624853133
2420,1.16,Very Good,H,SI2,63.2,57.0,6.66,6.7,4.22,1,2,2,5333.955156446147
2421,0.54,Ideal,G,VS1,61.8,56.0,5.21,5.26,3.24,4,3,4,2114.1311883055796
2422,1.54,Very Good,D,SI1,63.0,59.0,7.31,7.35,4.62,2,6,2,10623.317140185834
2423,2.07,Premium,H,SI1,61.1,58.0,8.27,8.2,5.03,2,2,3,14513.506626965502
2424,0.41,Ideal,J,VVS1,62.0,57.0,4.79,4.73,2.95,6,0,4,1063.390269312693
2425,1.54,Ideal,F,VS1,60.5,56.0,7.52,7.49,4.54,4,4,4,11321.006979702155
2426,0.42,Premium,F,VS1,61.8,59.0,4.83,4.81,2.98,4,4,3,1272.6529903502078
2427,1.12,Premium,G,I1,60.4,59.0,6.71,6.67,0.0,0,3,3,5103.778216781047
2428,1.0,Ideal,G,VVS2,62.8,53.9,6.37,6.42,4.02,5,3,4,6540.302066004398
2429,1.01,Premium,I,VVS1,62.0,59.0,6.39,6.32,3.94,6,1,3,6295.1610156114575
2430,1.7,Good,I,I1,63.6,58.0,7.52,7.48,4.77,0,1,1,9403.682365056473
2431,0.31,Ideal,F,VVS1,60.6,56.0,4.44,4.41,2.68,6,4,4,1722.4896446552466
2432,0.3,Very Good,F,IF,62.5,56.0,4.27,4.3,2.68,7,4,2,1867.4234391540167
2433,1.16,Ideal,J,SI1,60.7,57.0,6.83,6.77,4.13,2,0,4,5485.991140502991
2434,0.3,Premium,E,VS2,59.1,58.0,4.37,4.39,2.59,3,5,3,448.6067369358302
2435,1.0,Very Good,E,VVS2,61.7,55.0,6.38,6.42,3.95,5,5,2,6999.349555893051
2436,0.94,Fair,H,SI1,68.4,53.0,6.05,5.97,4.11,2,2,0,3423.3872842644955
2437,0.5,Ideal,I,VS2,62.4,55.0,5.09,5.11,3.18,3,1,4,616.5014721402858
2438,1.2,Ideal,E,SI2,62.0,57.0,6.8,6.82,4.22,1,5,4,6952.243265837855
2439,0.4,Very Good,G,VVS1,60.9,57.0,4.76,4.8,2.91,6,3,2,1803.1500945051466
2440,0.62,Ideal,D,SI1,60.8,59.0,5.48,5.5,3.34,2,6,4,2714.1794584510444
2441,1.02,Good,G,VS2,63.7,57.0,6.24,6.31,4.0,3,3,1,5351.97318236675
2442,0.96,Very Good,I,SI2,62.7,58.0,6.2,6.24,3.9,1,1,2,3268.981465402532
2443,1.51,Very Good,F,VS1,59.6,63.0,7.34,7.43,4.4,4,4,2,10808.068025733313
2444,0.7,Ideal,F,SI1,60.7,57.0,5.73,5.75,3.49,2,4,4,2774.2855969300613
2445,0.52,Ideal,D,SI2,61.7,55.0,5.17,5.2,3.2,1,6,4,1434.7298792813572
2446,0.4,Premium,G,SI1,59.3,59.0,4.82,4.8,2.85,2,3,3,-52.75805874584148
2447,0.5,Ideal,E,VS2,62.9,54.0,5.14,5.1,3.22,3,5,4,1848.7888437107576
2448,1.25,Ideal,I,SI2,61.4,55.0,6.92,6.99,4.27,1,1,4,6198.134892685486
2449,0.91,Very Good,G,VS2,62.3,59.0,6.13,6.17,3.83,3,3,2,4444.843508546617
2450,0.44,Ideal,I,VS1,61.1,56.0,4.92,4.96,3.02,4,1,4,698.7100852431463
2451,0.42,Very Good,E,SI1,62.3,58.0,4.76,4.81,2.98,2,5,2,521.8517847722924
2452,1.29,Ideal,G,VS2,61.3,57.0,6.99,7.07,4.31,3,3,4,8172.0793731914855
2453,1.12,Ideal,F,VS1,61.8,56.0,6.67,6.69,4.13,4,4,4,7423.6236220408455
2454,0.6,Ideal,G,VS1,62.2,55.0,5.41,5.45,3.38,4,3,4,2580.6314498878473
2455,0.3,Very Good,E,SI1,63.2,57.0,4.3,4.25,2.7,2,5,2,-423.4452857878723
2456,0.31,Premium,H,SI1,62.3,55.0,4.36,4.34,2.71,2,2,3,-1089.8309764163714
2457,1.71,Premium,G,VS1,62.7,58.0,7.66,7.62,4.79,4,3,3,12353.55526631978
2458,0.74,Ideal,G,SI1,61.3,57.0,5.81,5.83,3.57,2,3,4,2763.730308344115
2459,0.3,Very Good,F,SI1,63.5,57.0,4.27,4.24,2.7,2,4,2,-744.6139835018639
2460,0.71,Good,F,SI2,64.1,60.0,0.0,0.0,0.0,1,4,1,6623.916386165674
2461,0.31,Ideal,D,SI2,61.3,56.0,4.36,4.41,2.69,1,6,4,-120.31098213268069
2462,0.32,Premium,G,VS2,61.7,60.0,4.4,4.32,2.69,3,3,3,-275.8449082700381
2463,1.54,Premium,G,SI1,61.0,59.0,7.43,7.38,4.52,2,3,3,9834.197807490036
2464,1.02,Ideal,J,SI2,61.6,55.0,6.49,6.43,3.98,1,0,4,3748.655832848097
2465,1.0,Very Good,F,VVS2,62.9,55.0,6.29,6.36,3.98,5,4,2,6655.759685433833
2466,1.0,Premium,D,SI1,62.5,59.0,6.32,6.38,3.97,2,6,3,5823.02687963343
2467,1.01,Ideal,H,VS1,61.5,56.0,6.48,6.43,3.97,4,2,4,5779.611465870848
2468,0.7,Premium,G,VVS2,61.8,58.0,5.67,5.63,3.49,5,3,3,3766.4111858656415
2469,0.29,Ideal,G,VS2,61.6,56.0,4.26,4.29,2.63,3,3,4,-242.37122108079348
2470,0.41,Premium,G,VVS1,60.0,59.0,4.84,4.83,2.9,6,3,3,1982.459453930951
2471,0.35,Ideal,D,SI1,62.3,55.0,4.54,4.51,2.82,2,6,4,597.5640516070689
2472,1.05,Ideal,F,SI1,61.8,57.0,6.51,6.54,4.03,2,4,4,5780.975177429373
2473,0.3,Very Good,H,VVS1,62.2,58.0,4.26,4.29,2.66,6,2,2,701.9378368001348
2474,1.22,Ideal,G,VVS2,60.0,58.0,6.95,6.99,4.18,5,3,4,8534.019015017402
2475,1.01,Very Good,G,SI2,60.8,63.0,6.4,6.36,3.88,1,3,2,4305.360106266558
2476,1.22,Very Good,E,VS2,59.5,60.0,6.91,7.0,4.14,3,5,2,7963.617549150792
2477,1.03,Very Good,F,SI1,60.6,63.0,6.47,6.5,3.93,2,4,2,5302.233205232318
2478,1.57,Premium,F,SI1,62.0,58.0,7.47,7.41,4.61,2,4,3,10388.968904645906
2479,0.31,Ideal,F,IF,61.2,57.0,4.35,4.38,2.67,7,4,4,2227.0499864141075
2480,0.42,Ideal,D,SI1,61.9,57.0,4.82,4.77,2.97,2,6,4,1089.7673705619636
2481,0.34,Ideal,E,SI1,63.0,55.0,4.47,4.42,2.8,2,5,4,169.43280752505598
2482,1.01,Premium,F,VS2,63.0,58.0,6.43,6.36,4.03,3,4,3,5671.526910973179
2483,0.34,Very Good,E,VS2,62.8,58.0,4.43,4.45,2.79,3,5,2,403.96360852738053
2484,0.4,Ideal,E,SI2,61.2,55.0,4.74,4.77,2.91,1,5,4,231.65650092927535
2485,0.39,Very Good,I,VVS2,63.0,56.0,4.62,4.68,2.93,5,1,2,523.9775097633856
2486,1.57,Ideal,E,VS2,62.3,57.0,7.39,7.44,4.62,3,5,4,11405.829219220184
2487,1.35,Premium,H,VS2,61.5,58.0,7.09,7.15,4.38,3,2,3,8245.712659167886
2488,0.35,Very Good,D,SI1,60.1,61.0,4.56,4.59,2.75,2,6,2,365.4264171321265
2489,2.5,Fair,H,SI2,64.9,58.0,8.46,8.43,5.48,1,2,0,17806.383268063542
2490,0.51,Very Good,G,VS2,62.7,57.0,5.05,5.12,3.19,3,3,2,1088.8018572840401
2491,0.62,Premium,J,VVS2,60.9,58.0,5.5,5.56,3.37,5,0,3,2158.80277639662
2492,0.56,Ideal,G,SI1,61.5,56.0,5.31,5.32,3.27,2,3,4,1265.9090574096458
2493,0.35,Ideal,F,VVS1,61.8,55.0,4.53,4.57,2.81,6,4,4,2005.0731220507123
2494,0.72,Premium,F,VS1,62.2,58.0,5.75,5.7,3.56,4,4,3,3701.9952399651183
2495,1.51,Ideal,I,SI2,61.2,58.0,7.33,7.42,4.51,1,1,4,8584.258512846038
2496,1.01,Good,D,SI2,63.9,57.0,6.29,6.36,4.04,1,6,1,5152.626211973591
2497,1.51,Fair,G,SI2,65.5,55.0,7.14,7.08,4.66,1,3,0,8631.733647544315
2498,0.75,Very Good,H,VVS2,60.6,57.0,5.86,5.89,3.56,5,2,2,3824.3745708644606
2499,0.5,Good,D,SI2,61.9,63.0,5.05,5.07,3.13,1,6,1,737.057767129802
2500,0.36,Ideal,G,VVS2,61.5,55.0,4.58,4.62,2.83,5,3,4,1270.5635576767454
2501,0.63,Ideal,F,SI1,62.6,56.0,5.53,5.49,3.45,2,4,4,2061.105275366196
2502,0.47,Ideal,H,SI2,62.4,53.0,4.98,5.02,3.12,1,2,4,-236.97874907234927
2503,1.01,Good,F,SI1,58.8,64.0,6.58,6.51,3.85,2,4,1,4991.543412378648
2504,1.01,Very Good,G,VS2,63.2,55.0,6.39,6.34,4.02,3,3,2,5325.237163890964
2505,0.9,Ideal,G,SI2,62.7,55.0,6.11,6.17,3.85,1,3,4,3665.56972511585
2506,1.51,Ideal,I,SI1,61.2,60.0,7.39,7.37,4.52,2,1,4,8977.704313658567
2507,1.0,Good,I,SI1,57.6,61.0,6.56,6.52,3.77,2,1,1,4110.166004120036
2508,0.31,Premium,I,VS1,62.3,59.0,4.29,4.35,2.69,4,1,3,-453.57040612056153
2509,1.63,Premium,I,SI1,61.7,58.0,7.54,7.51,4.64,2,1,3,10031.521328015679
2510,0.4,Very Good,E,VVS2,61.4,56.0,4.74,4.81,2.93,5,5,2,1951.8114720178746
2511,0.42,Very Good,G,VS1,60.6,58.0,4.82,4.95,2.96,4,3,2,966.5803732102804
2512,0.7,Premium,H,VS1,61.9,56.0,5.7,5.67,3.52,4,2,3,2960.9979026162573
2513,0.32,Very Good,D,SI1,60.1,60.0,4.38,4.4,2.64,2,6,2,223.57954723113016
2514,0.75,Very Good,E,VS2,62.8,55.0,5.77,5.79,3.63,3,5,2,3740.793222183658
2515,0.32,Ideal,G,IF,61.4,55.0,4.42,4.44,2.72,7,3,4,1986.6875943274335
2516,0.25,Ideal,E,VS2,60.6,57.0,4.08,4.11,2.48,3,5,4,184.19399260696855
2517,1.02,Ideal,F,SI2,61.6,56.0,6.52,6.49,4.01,1,4,4,4989.465297424794
2518,0.4,Premium,D,SI1,61.1,58.0,4.75,4.74,2.9,2,6,3,855.2573768818766
2519,0.48,Good,F,VS1,59.0,60.9,5.09,5.15,3.02,4,4,1,1636.6868164542047
2520,0.31,Ideal,E,VS1,60.1,55.0,4.42,4.53,2.69,4,5,4,1132.4060904625958
2521,1.0,Ideal,H,SI2,62.5,54.0,6.32,6.38,3.97,1,2,4,4281.003015801424
2522,0.9,Premium,I,VS2,61.6,58.0,6.15,6.09,3.77,3,1,3,3875.241404407274
2523,1.02,Very Good,D,SI1,62.7,57.0,6.42,6.5,4.05,2,6,2,5867.979739646582
2524,0.36,Premium,F,VS2,62.0,59.0,4.51,4.56,2.81,3,4,3,387.86357617203976
2525,0.31,Very Good,E,SI1,63.1,57.0,4.31,4.28,2.71,2,5,2,-315.6878100248505
2526,0.7,Fair,F,VS2,65.5,57.0,5.55,5.41,3.59,3,4,0,2550.3064291982373
2527,1.74,Premium,J,VS2,61.9,62.0,7.62,7.54,4.7,3,0,3,11202.648586595362
2528,1.79,Premium,G,VS1,61.7,59.0,7.85,7.74,4.81,4,3,3,13106.451360471108
2529,0.36,Ideal,E,VS1,62.4,55.0,4.61,4.59,2.87,4,5,4,1314.81557408531
2530,1.52,Good,E,I1,57.3,58.0,7.53,7.42,4.28,0,5,1,9268.59399219023
2531,0.94,Premium,E,SI1,62.0,58.0,6.24,6.27,3.88,2,5,3,4989.253605808346
2532,0.33,Ideal,I,SI1,61.5,57.0,4.49,4.46,2.75,2,1,4,-1176.3314068861691
2533,1.06,Ideal,G,SI2,62.2,55.0,6.56,6.53,4.07,1,3,4,5039.462516707823
2534,0.75,Ideal,E,SI1,62.1,55.0,5.81,5.85,3.62,2,5,4,3504.3561203841236
2535,0.79,Premium,H,VS1,60.0,60.0,6.07,5.99,3.64,4,2,3,3661.314389223367
2536,0.33,Ideal,E,SI1,59.6,57.0,4.53,4.49,2.69,2,5,4,236.7977173444824
2537,0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74,1,4,4,3298.294374157139
2538,0.32,Ideal,G,VS1,61.9,55.0,4.4,4.42,2.73,4,3,4,461.4205550820634
2539,0.3,Premium,F,VS2,62.2,60.0,4.22,4.27,2.64,3,4,3,-50.31239837152043
2540,0.7,Ideal,F,VS2,62.0,56.0,5.71,5.74,3.55,3,4,4,3211.4142824352684
2541,1.52,Fair,J,VS1,65.4,58.0,7.22,7.17,4.7,4,0,0,9133.13634137515
2542,0.31,Ideal,G,IF,62.0,54.0,4.36,4.38,2.71,7,3,4,1907.6772551914237
2543,0.51,Ideal,D,VS2,61.6,57.0,5.19,5.14,3.18,3,6,4,2264.8037457539813
2544,0.74,Premium,H,VS2,59.9,57.0,5.91,5.87,3.53,3,2,3,2848.4724185807836
2545,0.67,Good,F,VS2,58.1,62.0,5.76,5.83,3.36,3,4,1,2650.539864485359
2546,0.32,Ideal,H,VS1,62.1,55.0,4.39,4.4,2.73,4,2,4,130.35664745883878
2547,0.72,Ideal,H,VS1,62.3,55.0,5.72,5.74,3.57,4,2,4,3273.8302681162895
2548,0.5,Very Good,E,VS2,62.8,60.0,5.02,5.08,3.17,3,5,2,1566.4459205518533
2549,0.86,Ideal,E,SI2,61.8,57.0,6.1,6.13,3.78,1,5,4,3910.614742088042
2550,0.51,Premium,D,SI1,61.9,60.0,5.15,5.12,3.18,2,6,3,1576.144619657311
2551,2.0,Fair,I,VS1,58.5,68.0,8.26,8.15,4.8,4,1,0,14039.539405048567
2552,1.79,Very Good,F,VS2,62.8,59.0,7.7,7.8,4.87,3,4,2,12852.370018074165
2553,0.7,Very Good,F,VS2,63.4,56.0,5.69,5.63,3.59,3,4,2,2870.5823355277207
2554,0.7,Very Good,G,VS2,62.2,61.0,5.54,5.59,3.46,3,3,2,2648.680444591284
2555,0.28,Very Good,E,IF,59.6,55.0,4.24,4.31,2.55,7,5,2,2265.7976439415597
2556,0.32,Premium,D,SI1,60.8,58.0,4.41,4.44,2.69,2,6,3,312.9119728574824
2557,1.5,Good,I,I1,62.6,63.0,7.19,7.25,4.52,0,1,1,7489.045703640638
2558,0.9,Fair,I,VVS2,60.9,66.0,6.1,6.12,3.72,5,1,0,4410.012560154057
2559,0.41,Premium,I,VVS2,62.4,60.0,4.73,4.7,2.94,5,1,3,707.2824228125392
2560,1.0,Premium,J,SI1,58.7,58.0,6.55,6.51,3.83,2,0,3,4023.686084847834
2561,0.91,Very Good,H,VS2,58.3,59.0,6.35,6.47,3.74,3,2,2,4263.924711224269
2562,1.07,Very Good,J,VVS2,60.0,60.0,6.57,6.59,3.95,5,0,2,5983.754407527233
2563,2.2,Ideal,J,SI1,61.5,57.0,8.41,8.37,5.16,2,0,4,15260.971525376257
2564,1.52,Very Good,D,SI1,60.6,57.8,7.4,7.46,4.51,2,6,2,10560.657657125108
2565,0.31,Ideal,H,VVS2,62.3,55.0,4.36,4.37,2.72,5,2,4,532.6611535254347
2566,0.9,Good,H,SI2,64.1,58.0,6.05,6.02,3.87,1,2,1,2837.6793302290525
2567,0.41,Premium,J,VS1,61.3,59.0,4.78,4.74,2.92,4,0,3,-43.4689872722538
2568,1.58,Premium,G,VS2,58.2,58.0,7.68,7.64,4.46,3,3,3,10808.415667554918
2569,0.9,Premium,G,SI1,61.9,59.0,6.18,6.13,3.81,2,3,3,3944.246765371604
2570,1.2,Good,I,SI1,65.0,59.0,6.51,6.57,4.25,2,1,1,5751.559382504793
2571,1.16,Very Good,F,VS2,60.2,63.0,6.79,6.7,4.07,3,4,2,6956.707951346075
2572,0.3,Premium,H,VVS2,62.1,52.0,4.31,4.29,2.67,5,2,3,441.88459798748863
2573,0.4,Premium,D,SI1,60.9,60.0,4.74,4.78,2.9,2,6,3,829.4164381200499
2574,0.24,Very Good,F,VVS2,61.4,57.0,4.03,4.06,2.48,5,4,2,491.72973385862224
2575,0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51,4,2,2,2867.504220141123
2576,0.33,Good,I,VVS2,63.7,56.0,4.4,4.36,2.79,5,1,1,-112.3035275937782
2577,0.86,Very Good,E,VS2,62.3,56.0,6.05,6.08,3.78,3,5,2,4699.252951435096
2578,0.7,Ideal,D,VS1,62.5,57.0,5.65,5.68,3.54,4,6,4,4342.661271630532
2579,0.52,Ideal,E,SI1,60.1,59.0,5.18,5.23,3.13,2,5,4,1631.3412596704775
2580,0.41,Premium,E,VS1,62.3,59.0,4.76,4.74,2.96,4,5,3,1507.4366434204376
2581,1.06,Ideal,G,VS2,61.8,57.0,6.52,6.56,4.04,3,3,4,6057.788197825804
2582,0.72,Ideal,J,SI1,62.6,56.0,5.67,5.74,3.57,2,0,4,1620.471505593252
2583,1.54,Ideal,H,SI2,60.9,56.0,7.45,7.43,4.53,1,2,4,9201.0006232536
2584,0.76,Ideal,D,SI1,61.2,57.0,5.88,5.91,3.61,2,6,4,3896.33389764603
2585,1.01,Very Good,D,VS2,60.4,58.0,6.47,6.57,3.94,3,6,2,6381.989752841895
2586,1.0,Fair,G,VVS2,65.5,54.0,6.3,6.22,4.1,5,3,0,5891.219059109286
2587,2.02,Very Good,H,SI2,59.9,55.0,8.17,8.28,4.93,1,2,2,13622.969844658595
2588,0.32,Very Good,F,VS2,63.2,58.0,4.35,4.32,2.74,3,4,2,-99.37997783364517
2589,0.32,Ideal,D,SI1,62.0,57.0,4.4,4.37,2.72,2,6,4,367.8520580803779
2590,2.43,Premium,I,SI2,62.2,60.0,8.59,8.53,5.33,1,1,3,17148.893008627376
2591,0.92,Very Good,E,SI1,63.3,57.0,6.22,6.17,3.92,2,5,2,4587.614922666079
2592,0.41,Ideal,J,VS1,62.7,57.0,4.72,4.75,2.97,4,0,4,67.62156293705448
2593,0.38,Premium,H,VS2,60.5,59.0,4.69,4.66,2.83,3,2,3,-77.36470172801546
2594,1.71,Very Good,E,SI1,63.4,56.0,7.58,7.5,4.78,2,5,2,11940.705204927948
2595,0.9,Very Good,I,SI1,61.4,55.0,6.19,6.28,3.83,2,1,2,3318.407876056094
2596,0.43,Very Good,F,VS1,63.4,57.0,4.8,4.76,3.03,4,4,2,1206.4224575500289
2597,0.7,Very Good,G,VS2,58.2,60.0,5.84,5.78,3.38,3,3,2,2742.30140538461
2598,0.51,Ideal,E,VS2,62.0,54.0,5.16,5.13,3.19,3,5,4,2013.5198026420626
2599,0.4,Good,E,SI1,63.5,58.0,4.65,4.67,2.96,2,5,1,181.93422341513178
2600,0.9,Premium,I,SI1,60.9,56.0,6.26,6.21,3.8,2,1,3,3389.7215566856858
2601,0.78,Good,E,SI2,63.7,54.0,5.82,5.77,3.69,1,5,1,2849.7247128651206
2602,1.12,Premium,F,SI2,60.5,59.0,6.73,6.79,4.09,1,4,3,5780.339323848753
2603,0.4,Premium,E,SI1,60.8,62.0,4.76,4.72,2.88,2,5,3,443.187878274849
2604,0.51,Very Good,J,SI1,62.6,59.0,5.06,5.1,3.18,2,0,2,-434.13585965262973
2605,1.01,Fair,E,SI2,67.6,57.0,6.21,6.11,4.18,1,5,0,4468.316831421801
2606,0.52,Ideal,E,VS2,61.7,55.0,5.16,5.21,3.2,3,5,4,2121.8695502166224
2607,0.41,Ideal,E,VS2,61.8,56.0,4.78,4.74,2.94,3,5,4,1228.7482197770032
2608,1.05,Premium,G,SI2,60.1,60.0,6.58,6.66,3.98,1,3,3,4840.142924364184
2609,2.02,Very Good,G,SI2,62.8,55.0,8.06,8.11,5.08,1,3,2,13798.411639389766
2610,0.9,Very Good,I,SI2,60.9,63.0,6.21,6.13,3.76,1,1,2,2628.88176096165
2611,0.64,Premium,D,VS2,60.9,59.0,5.6,5.63,3.42,3,6,3,3198.2685657743505
2612,1.22,Premium,I,SI1,62.1,58.0,6.89,6.8,4.25,2,1,3,6140.846436642888
2613,1.32,Very Good,H,SI1,62.4,58.0,7.02,7.09,4.4,2,2,2,7288.031042099588
2614,2.2,Premium,I,SI2,63.0,59.0,8.22,8.19,5.17,1,1,3,14950.899688012496
2615,1.0,Ideal,G,VS2,62.6,57.0,6.47,6.4,4.03,3,3,4,5385.4538856029585
2616,0.54,Premium,H,VS1,61.9,56.0,5.29,5.24,3.26,4,2,3,1591.0189736264447
2617,2.25,Ideal,I,SI2,62.4,57.0,8.39,8.32,5.21,1,1,4,15564.05533509224
2618,1.13,Very Good,H,SI2,62.5,62.0,6.59,6.66,4.14,1,2,2,4999.444181626779
2619,0.62,Premium,F,SI2,61.7,60.0,5.48,5.45,3.37,1,4,3,1345.998183081504
2620,0.9,Fair,D,SI2,64.7,59.0,6.09,5.99,3.91,1,6,0,3897.6188073344715
2621,0.38,Ideal,D,VS2,61.8,56.0,4.65,4.67,2.88,3,6,4,1342.4309017493679
2622,0.4,Very Good,D,SI1,63.1,57.0,4.73,4.69,2.97,2,6,2,613.4739503940586
2623,0.61,Premium,D,VS1,62.4,57.0,5.46,5.44,3.4,4,6,3,3423.9820687837023
2624,1.5,Good,J,VS1,64.1,55.0,7.23,7.13,4.6,4,0,1,9213.864311662965
2625,1.25,Ideal,G,SI1,62.5,54.0,6.88,6.85,4.29,2,3,4,7311.830605220186
2626,1.01,Fair,E,SI2,60.0,60.0,6.48,6.38,3.86,1,5,0,4784.649972171579
2627,0.83,Premium,G,SI2,61.6,57.0,6.06,6.02,3.72,1,3,3,2870.421904760138
2628,1.53,Ideal,H,SI1,62.3,57.0,7.41,7.36,4.6,2,2,4,9485.354918708743
2629,0.71,Ideal,E,VS1,62.4,56.0,5.75,5.7,3.57,4,5,4,4073.2212166061017
2630,0.38,Good,H,SI1,63.3,57.0,4.58,4.62,2.91,2,2,1,-899.028571212546
2631,0.74,Ideal,F,SI1,61.2,56.0,5.83,5.87,3.58,2,4,4,3104.3882082012287
2632,0.84,Good,G,VS2,63.6,59.0,5.89,5.94,3.76,3,3,1,3670.9675636775078
2633,0.75,Ideal,E,SI1,61.4,57.0,5.82,5.87,3.59,2,5,4,3501.4718543116733
2634,0.42,Premium,H,VS1,61.7,59.0,4.76,4.83,2.96,4,2,3,697.6094536379874
2635,0.94,Premium,E,SI2,62.4,58.0,6.26,6.33,3.93,1,5,3,4439.387885460672
2636,0.72,Very Good,F,VVS2,59.2,63.0,5.77,5.86,3.44,5,4,2,4185.5380525183955
2637,0.3,Premium,E,VS2,62.4,59.0,4.3,4.26,2.67,3,5,3,210.93714613445627
2638,0.41,Very Good,E,SI2,63.3,56.0,4.73,4.69,2.98,1,5,2,-92.67417081659733
2639,0.43,Ideal,D,VS2,61.3,55.0,4.84,4.88,2.98,3,6,4,1784.5196827180607
2640,2.24,Premium,I,SI2,61.9,58.0,8.29,8.36,5.15,1,1,3,15441.646751299953
2641,0.84,Very Good,G,VS2,61.8,57.0,6.04,6.07,3.74,3,3,2,3861.5891115717027
2642,1.12,Very Good,E,SI2,60.9,63.0,6.59,6.65,4.03,1,5,2,5966.85660369058
2643,0.34,Premium,I,VS1,61.0,60.0,4.51,4.48,2.74,4,1,3,-242.2942410111291
2644,0.3,Premium,G,VS1,62.5,55.0,4.32,4.25,2.68,4,3,3,143.37368288308517
2645,0.7,Ideal,G,VS1,61.4,57.0,5.7,5.73,3.51,4,3,4,3420.905309572827
2646,1.0,Premium,F,SI1,59.7,60.0,6.48,6.51,3.88,2,4,3,5243.115356596696
2647,0.43,Ideal,D,VS2,61.8,56.0,4.81,4.83,2.98,3,6,4,1742.7819454422597
2648,1.01,Ideal,H,SI1,62.4,53.0,6.42,6.47,4.02,2,2,4,4836.927767932352
2649,0.71,Good,D,SI2,56.6,63.0,5.9,5.76,3.3,1,6,1,2697.701446503819
2650,1.12,Ideal,E,SI2,62.0,57.0,6.61,6.63,4.11,1,5,4,6254.292016769566
2651,0.72,Ideal,H,VS2,62.8,57.0,5.74,5.7,3.59,3,2,4,2661.1791395164973
2652,0.71,Premium,E,SI1,61.8,59.0,5.75,5.7,3.54,2,5,3,2923.050058933757
2653,0.52,Ideal,D,VS2,61.9,55.0,5.19,5.21,3.22,3,6,4,2401.7312077323154
2654,0.3,Premium,D,VS1,60.2,59.0,4.39,4.42,2.65,4,6,3,1138.8901149400017
2655,0.35,Premium,E,VS2,61.6,58.0,4.57,4.52,2.8,3,5,3,607.5713675887646
2656,0.32,Ideal,I,VS2,61.5,56.0,4.4,4.41,2.71,3,1,4,-678.7178202296463
2657,1.01,Very Good,I,SI1,64.2,55.0,6.28,6.34,4.05,2,1,2,4193.927245834173
2658,0.58,Ideal,E,VS2,61.9,57.0,5.37,5.33,3.31,3,5,4,2515.9352441599344
2659,0.9,Good,J,SI1,64.3,63.0,6.05,6.01,3.88,2,0,1,2544.881952039789
2660,0.27,Very Good,F,VVS1,62.0,58.0,4.18,4.21,2.6,6,4,2,1110.4088570161275
2661,0.41,Ideal,D,VS1,61.8,57.0,4.8,4.75,2.95,4,6,4,2008.6370062717756
2662,1.01,Very Good,H,VS2,63.5,61.0,6.32,6.24,3.99,3,2,2,4880.587691725265
2663,1.01,Fair,G,SI2,68.5,63.0,6.08,6.0,4.14,1,3,0,3705.024697382848
2664,0.38,Ideal,I,SI1,61.5,56.0,4.67,4.7,2.88,2,1,4,-765.6623036957435
2665,1.09,Premium,G,VS2,59.9,56.0,6.73,6.59,3.99,3,3,3,6257.848395391797
2666,1.01,Ideal,F,SI2,62.9,57.0,6.35,6.41,4.01,1,4,4,4897.6970292339265
2667,0.41,Premium,G,VS1,60.7,58.0,4.83,4.79,2.92,4,3,3,957.8450508364167
2668,1.5,Very Good,I,SI1,60.2,63.0,7.38,7.33,4.43,2,1,2,8642.1152760457
2669,1.23,Ideal,G,VS2,61.5,54.0,6.92,6.89,4.25,3,3,4,7644.882569388021
2670,0.51,Very Good,F,VS2,62.0,58.0,5.08,5.11,3.16,3,4,2,1416.3892270232755
